Title,Subsequent Sales ($MM),Box Office Gross ($MM),Log Subsequent Sales,Log Gross,Log 10 Subsequent Purchase,Log 10 Gross,Genre,Rating,Box Office Date,Studio
10 THINGS I HATE ABOUT YOU,2.05,38.2,0.71783979,3.64283552,0.31175386,1.58206336,Comedy,PG-13,02-04-1999,BV
102 Dalmations,1.37,66.8,0.31481074,4.20170308,0.13672057,1.82477646,Family,G,22-11-2000,BV
"13th Warrior, The",1.97,32.6,0.67803354,3.48431229,0.29446623,1.5132176,Action/Adventure,R,27-08-1999,BV
15 Minutes,0.86,24.4,-0.1508229,3.19458313,-0.0655015,1.38738983,Action/Adventure,R,09-03-2001,NL
28 Days,1.83,37,0.60431597,3.61091791,0.26245109,1.56820172,Drama,PG-13,14-04-2000,SNY
3000 Miles to Graceland,0.59,15.6,-0.5276327,2.74727091,-0.229148,1.1931246,Action/Adventure,R,23-02-2001,WB
54,0.58,16.6,-0.5447272,2.8094027,-0.236572,1.22010809,Drama,R,28-08-1998,BV
"6th Day, The",1.83,34.3,0.60431597,3.53514535,0.26245109,1.53529412,Action/Adventure,PG-13,17-11-2000,SNY
8MM,1.31,36.3,0.27002714,3.59181774,0.1172713,1.55990663,Mystery,R,26-02-1999,SNY
Adventures of Elmo in Grouchland,0.15,10.8,-1.89712,2.37954613,-0.8239087,1.03342376,Family,G,01-10-1999,SNY
"Adventures of Rocky & Bullwinkle, The",0.47,26,-0.7550226,3.25809654,-0.3279021,1.41497335,Comedy,PG,30-06-2000,UNI
AFFLICTION,0.13,6.3,-2.0402208,1.84054963,-0.8860566,0.79934055,Drama,R,01-01-1999,UNI
AIR BUD: GOLDEN RECEIVER,0.15,10.2,-1.89712,2.32238772,-0.8239087,1.00860017,Family,G,14-08-1998,BV
All About My Mother,0.03,7.8,-3.5065579,2.05412373,-1.5228787,0.8920946,Comedy,R,19-11-1999,SNY
All the Pretty Horses,0.34,15.4,-1.0788097,2.73436751,-0.4685211,1.18752072,Drama,PG-13,25-12-2000,BV
Almost Famous,1.05,32.5,0.04879016,3.48124009,0.0211893,1.51188336,Drama,R,22-09-2000,DRW
ALMOST HEROES,0.12,6.1,-2.1202635,1.80828877,-0.9208188,0.78532984,Action/Adventure,PG-13,29-05-1998,WB
Along Came a Spider,,74.1,,4.30541553,,1.86981821,Action/Adventure,R,06-04-2001,PAR
American Beauty,3.64,124.7,1.29198368,4.82591085,0.56110138,2.09586645,Drama,R,15-09-1999,DRW
AMERICAN HISTORY X,1.01,6.7,0.00995033,1.90210753,0.00432137,0.8260748,Drama,R,30-10-1998,NL
American Pie,4.37,101.7,1.47476301,4.6220273,0.64048144,2.00732095,Comedy,R,09-07-1999,UNI
American Psycho,0.77,15.1,-0.2613648,2.71469474,-0.1135093,1.17897695,Horror/Thriller,R,14-04-2000,UNI
Amores Perros,0.03,5.4,-3.5065579,1.68639895,-1.5228787,0.73239376,Drama,R,30-03-2001,MISC
ANALYZE THIS,2.16,106.7,0.77010822,4.67002116,0.33445375,2.02816442,Comedy,R,05-03-1999,WB
Angel Eyes,0.72,24,-0.3285041,3.17805383,-0.1426675,1.38021124,Drama,R,18-05-2001,WB
"Animal, The",1.96,55.7,0.67294447,4.01998015,0.29225607,1.7458552,Comedy,PG-13,01-06-2001,SNY
Anna And the King,0.89,38.9,-0.1165338,3.66099425,-0.05061,1.5899496,Romance,PG-13,17-12-1999,FOX
Antitrust,0.64,12,-0.4462871,2.48490665,-0.19382,1.07918125,Sci-Fi/Fantasy,PG-13,12-01-2001,MGM
ANTZ,2.05,90.6,0.71783979,4.50645421,0.31175386,1.9571282,Animation,PG,02-10-1998,DRW
Any Given Sunday,2.5,75.5,0.91629073,4.32413266,0.39794001,1.87794695,Drama,R,22-12-1999,WB
Anywhere But Here,0.41,18.5,-0.8915981,2.91777073,-0.3872161,1.26717173,Drama,PG-13,12-11-1999,FOX
ARLINGTON ROAD,1.43,24.4,0.35767444,3.19458313,0.15533604,1.38738983,Action/Adventure,R,09-07-1999,SNY
"Art of War, The",1.4,30.2,0.33647224,3.40784192,0.14612804,1.48000694,Action/Adventure,R,25-08-2000,WB
"Astronaut's Wife, The",0.76,10.6,-0.2744368,2.360854,-0.1191864,1.02530587,Sci-Fi/Fantasy,R,27-08-1999,NL
AT FIRST SIGHT,0.64,22.3,-0.4462871,3.10458668,-0.19382,1.34830486,Drama,PG-13,15-01-1999,MGM
Austin Powers: Spy Who Shagged Me,2.93,205,1.07500242,5.32300998,0.46686762,2.31175386,Comedy,PG-13,11-06-1999,NL
Autumn in New York,1.44,37.7,0.36464311,3.62966009,0.15836249,1.57634135,Romance,PG-13,11-08-2000,MGM
"AVENGERS, THE",0.76,23.3,-0.2744368,3.14845336,-0.1191864,1.36735592,Action/Adventure,PG-13,14-08-1998,WB
BABE: PIG IN THE CITY,0.56,18.3,-0.5798185,2.90690106,-0.251812,1.26245109,Family,G,27-11-1998,UNI
Baby Boy,2.13,28.7,0.75612198,3.35689712,0.3283796,1.4578819,Drama,R,27-06-2001,SNY
BABY GENIUSES,0.66,27.1,-0.4155154,3.29953373,-0.1804561,1.43296929,Family,PG,12-03-1999,SNY
"Bachelor, The",0.69,22,-0.3710637,3.09104245,-0.1611509,1.34242268,Romance,PG-13,05-11-1999,NL
Bait,0.97,15.3,-0.0304592,2.72785283,-0.0132283,1.18469143,Action/Adventure,R,15-09-2000,WB
BASEKETBALL,0.35,6.9,-1.0498221,1.93152141,-0.455932,0.83884909,Comedy,R,31-07-1998,UNI
Bats,0.61,10.1,-0.4942963,2.31253542,-0.2146702,1.00432137,Horror/Thriller,R,22-10-1999,SNY
Battlefield Earth,1.24,21.5,0.21511138,3.06805294,0.09342169,1.33243846,Sci-Fi/Fantasy,PG-13,12-05-2000,WB
"Beach, The",2.09,39.8,0.73716407,3.68386691,0.32014629,1.59988307,Drama,R,11-02-2000,FOX
Bedazzled,1.63,37.8,0.48858001,3.6323091,0.2121876,1.5774918,Comedy,PG-13,20-10-2000,FOX
Being John Malkovich,0.48,22.7,-0.7339692,3.12236492,-0.3187588,1.35602586,Comedy,R,29-10-1999,UNI
BELOVED,0.53,22.8,-0.6348783,3.12676054,-0.2757241,1.35793485,Drama,R,16-10-1998,BV
Best in Show,0.67,18.6,-0.4004776,2.92316158,-0.1739252,1.26951294,Comedy,PG-13,29-09-2000,WB
"Best Man, The",1.69,33.9,0.52472853,3.52341501,0.2278867,1.5301997,Drama,R,22-10-1999,UNI
Bicentennial Man,1.2,57.5,0.18232156,4.05178495,0.07918125,1.75966784,Drama,PG,17-12-1999,BV
Big Daddy,2.9,163.2,1.06471074,5.09497644,0.462398,2.21272015,Comedy,PG-13,25-06-1999,SNY
Big Momma's House,3.7,117.5,1.30833282,4.76643833,0.56820172,2.07003787,Comedy,PG-13,02-06-2000,FOX
Billy Elliott,0.57,22,-0.5621189,3.09104245,-0.2441251,1.34242268,Drama,PG-13,13-10-2000,UNI
Black and White,0.15,5.2,-1.89712,1.64865863,-0.8239087,0.71600334,Drama,R,05-04-2000,SNY
BLADE,2.64,70,0.97077892,4.24849524,0.42160393,1.84509804,Action/Adventure,R,21-08-1998,NL
Blair Witch 2: Book of Shadows,,26.4,,3.27336401,,1.42160393,Horror/Thriller,R,27-10-2000,ART
BLAST FROM THE PAST,0.78,26.5,-0.2484614,3.27714473,-0.1079054,1.42324587,Comedy,PG-13,12-02-1999,NL
Bless the Child,,29.4,,3.38099467,,1.46834733,Horror/Thriller,R,11-08-2000,PAR
Blow,2.25,52.9,0.81093022,3.96840334,0.35218252,1.72345567,Drama,R,06-04-2001,NL
Blue Streak,2.95,68,1.08180517,4.21950771,0.46982202,1.83250891,Comedy,PG-13,17-09-1999,SNY
Boiler Room,0.51,17,-0.6733446,2.83321334,-0.2924298,1.23044892,Horror/Thriller,R,18-02-2000,NL
"Bone Collector, The",3.3,64.8,1.19392247,4.1713056,0.51851394,1.81157501,Mystery,R,05-11-1999,UNI
Bounce,1.61,36.7,0.47623418,3.60277676,0.20682588,1.56466606,Romance,PG-13,17-11-2000,BV
Bowfinger,2.19,66.3,0.78390154,4.1941899,0.34044411,1.82151353,Comedy,PG-13,13-08-1999,UNI
Boys & Girls,0.5,20.6,-0.6931472,3.02529108,-0.30103,1.31386722,Comedy,PG-13,16-06-2000,BV
Boys Don't Cry,0.65,7.8,-0.4307829,2.05412373,-0.1870866,0.8920946,Drama,R,08-10-1999,FOX
BRIDE OF CHUCKY,1.6,32.4,0.47000363,3.47815842,0.20411998,1.51054501,Horror/Thriller,R,16-10-1998,UNI
Bridget Jones's Diary,2.1,71.5,0.74193734,4.26969745,0.32221929,1.85430604,Comedy,R,13-04-2001,BV
Bring It On,3.99,68.4,1.38379123,4.22537282,0.6009729,1.8350561,Comedy,PG-13,25-08-2000,UNI
Brokedown Palace,0.36,10.1,-1.0216512,2.31253542,-0.4436975,1.00432137,Drama,PG-13,13-08-1999,FOX
"Brothers, The",1.23,27.4,0.20701417,3.31054301,0.08990511,1.43775056,Comedy,R,23-03-2001,SNY
"Bug's Life, A",0.6,162.8,-0.5108256,5.09252245,-0.2218487,2.2116544,Family,G,25-11-1998,BV
BULWORTH,0.71,26.5,-0.3424903,3.27714473,-0.1487417,1.42324587,Comedy,R,15-05-1998,FOX
CAN'T HARDLY WAIT,0.77,25.3,-0.2613648,3.2308044,-0.1135093,1.40312052,Comedy,PG-13,12-06-1998,SNY
Cast Away,4.18,233.6,1.43031125,5.45361025,0.62117628,2.36847284,Drama,PG-13,22-12-2000,FOX
Cats & Dogs,1.64,93.4,0.49469624,4.53689135,0.21484385,1.97034688,Family,PG,04-07-2001,WB
CELEBRITY,0.09,5,-2.4079456,1.60943791,-1.0457575,0.69897,Comedy,R,20-11-1998,BV
"Cell, The",2.75,61.3,1.01160091,4.11577984,0.43933269,1.78746047,Sci-Fi/Fantasy,R,18-08-2000,NL
Center Stage,0.48,17.2,-0.7339692,2.84490938,-0.3187588,1.23552845,Drama,PG-13,12-05-2000,SNY
Charlie's Angels,5.04,125.2,1.61740608,4.82991246,0.70243054,2.09760433,Action/Adventure,PG-13,03-11-2000,SNY
Chicken Run,1.74,106.7,0.55388511,4.67002116,0.24054925,2.02816442,Animation,G,23-06-2000,DRW
Chill Factor,0.79,11.2,-0.2357223,2.41591378,-0.1023729,1.04921802,Action/Adventure,R,01-09-1999,WB
Chocolat,1.5,71.3,0.40546511,4.26689633,0.17609126,1.85308953,Romance,PG-13,15-12-2000,BV
Cider House Rules,1.22,57,0.19885086,4.04305127,0.08635983,1.75587486,Drama,PG-13,10-12-1999,BV
"CIVIL ACTION, A",1.48,56.7,0.39204209,4.03777421,0.17026172,1.75358306,Drama,PG-13,25-12-1998,BV
"Closet, The",0.08,6.7,-2.5257286,1.90210753,-1.09691,0.8260748,Comedy,R,01-07-2001,BV
"Contender, The",0.39,17.5,-0.9416085,2.86220088,-0.4089354,1.24303805,Drama,R,13-10-2000,DRW
COOKIE'S FORTUNE,0.14,10.9,-1.9661129,2.38876279,-0.853872,1.0374265,Drama,PG-13,02-04-1999,UNI
"CORRUPTOR, THE",0.39,15.2,-0.9416085,2.72129543,-0.4089354,1.18184359,Action/Adventure,R,12-03-1999,NL
Coyote Ugly,3.72,60.6,1.31372367,4.10429489,0.57054294,1.78247262,Drama,PG-13,04-08-2000,BV
Crazy/Beautiful,0.55,16.9,-0.597837,2.82731362,-0.2596373,1.2278867,Drama,PG-13,29-06-2001,BV
"Crew, The",0.32,13,-1.1394343,2.56494936,-0.49485,1.11394335,Comedy,PG-13,25-08-2000,BV
Crocodile Dundee in Los Angeles,,25.6,,3.24259235,,1.40823997,Comedy,PG,20-04-2001,PAR
Crouching Tiger Hidden Dragon,2.38,128,0.86710049,4.85203026,0.37657696,2.10720997,Action/Adventure,PG-13,08-12-2000,SNY
CRUEL INTENTIONS,1.51,38.2,0.41210965,3.64283552,0.17897695,1.58206336,Drama,R,05-03-1999,SNY
DANCE WITH ME,0.63,15.8,-0.4620355,2.76000994,-0.2006595,1.19865709,Romance,PG-13,21-08-1998,SNY
Deep Blue Sea,3.35,72.3,1.20896035,4.28082413,0.52504481,1.8591383,Action/Adventure,R,30-07-1999,WB
"DEEP END OF THE OCEAN, THE",0.54,13.4,-0.6161861,2.59525471,-0.2676062,1.1271048,Drama,PG-13,12-03-1999,SNY
Deuce Bigalow: Male Gigolo,3.94,65.4,1.37118072,4.18052226,0.59549622,1.81557775,Comedy,R,10-12-1999,BV
Dick,0.14,6.2,-1.9661129,1.82454929,-0.853872,0.79239169,Comedy,PG-13,04-08-1999,SNY
Digimon: The Movie,,9.6,,2.2617631,,0.98227123,Animation,PG,06-10-2000,FOX
Dinosaur,1.42,137.5,0.35065687,4.92362392,0.15228834,2.1383027,Animation,PG,19-05-2000,BV
DIRTY WORK,0.48,10,-0.7339692,2.30258509,-0.3187588,1,Comedy,PG-13,12-06-1998,MGM
Disney's the Kid,1.98,69.5,0.68309684,4.24132675,0.29666519,1.8419848,Comedy,PG,07-07-2000,BV
DISTURBING BEHAVIOR,0.92,17.4,-0.0833816,2.85647021,-0.0362122,1.24054925,Horror/Thriller,R,24-07-1998,MGM
Double Take,1.19,29.8,0.17395331,3.39450839,0.07554696,1.47421626,Action/Adventure,PG-13,12-01-2001,BV
DOUG'S 1ST MOVIE,0.42,19.4,-0.8675006,2.96527307,-0.3767507,1.28780173,Family,G,26-03-1999,BV
DOWN IN THE DELTA,0.19,5.7,-1.6607312,1.74046617,-0.7212464,0.75587486,Drama,PG-13,25-12-1998,BV
Down to Earth,,64.1,,4.16044436,,1.80685803,Comedy,PG-13,16-02-2001,PAR
Down to You,0.5,20,-0.6931472,2.99573227,-0.30103,1.30103,Romance,PG-13,21-01-2000,BV
DR. DOLITTLE,2.83,144.2,1.04027671,4.97120122,0.45178644,2.15896526,Comedy,PG-13,26-06-1998,FOX
Dr. Doolittle 2,2.92,113,1.07158362,4.72738782,0.46538285,2.05307844,Comedy,PG,22-06-2001,FOX
Dr. Seuss' : How the Grinch Stole Christmas,1.85,260,0.61518564,5.56068163,0.26717173,2.41497335,Family,PG,17-11-2000,UNI
Dr. T and the Women,,13.1,,2.57261223,,1.1172713,Comedy,R,13-10-2000,ART
Drive Me Crazy,0.94,17.8,-0.0618754,2.87919846,-0.0268721,1.25042,Comedy,PG-13,01-10-1999,FOX
Driven,1.23,32.6,0.20701417,3.48431229,0.08990511,1.5132176,Action/Adventure,PG-13,27-04-2001,WB
Drop Dead Gorgeous,0.41,10.6,-0.8915981,2.360854,-0.3872161,1.02530587,Comedy,PG-13,23-07-1999,NL
Drowning Mona,0.57,15.4,-0.5621189,2.73436751,-0.2441251,1.18752072,Mystery,PG-13,03-03-2000,MISC
"Dude, Where's My Car?",2.98,46.7,1.0919233,3.84374416,0.47421626,1.66931688,Comedy,PG-13,15-12-2000,FOX
Dudley Do-Right,0.28,9.8,-1.2729657,2.28238239,-0.552842,0.99122608,Family,PG,27-08-1999,UNI
Dungeons & Dragons,0.86,15.2,-0.1508229,2.72129543,-0.0655015,1.18184359,Action/Adventure,PG-13,08-12-2000,NL
EDTV,0.98,22.4,-0.0202027,3.10906096,-0.0087739,1.35024802,Comedy,PG-13,26-03-1999,UNI
ELIZABETH,0.83,30,-0.1863296,3.40119738,-0.0809219,1.47712125,Drama,R,06-11-1998,UNI
Emperor's New Groove,1.32,89.3,0.27763174,4.49200149,0.12057393,1.95085146,Family,G,15-12-2000,BV
End of Days,2.24,66.7,0.80647587,4.20020495,0.35024802,1.82412583,Action/Adventure,R,24-11-1999,UNI
"End of the Affair, The",0.24,12,-1.4271164,2.48490665,-0.6197888,1.07918125,Drama,R,03-12-1999,SNY
Enemy at the Gates,,51.4,,3.93963817,,1.71096312,Action/Adventure,R,16-03-2001,PAR
ENEMY OF THE STATE,2.46,111.5,0.90016135,4.71402459,0.39093511,2.04727487,Action/Adventure,R,20-11-1998,BV
ENTRAPMENT,2.97,87.7,1.08856195,4.4739219,0.47275645,1.94299959,Action/Adventure,PG-13,30-04-1999,FOX
Erin Brockovich,2.78,125.6,1.02245093,4.83310225,0.4440448,2.09898964,Drama,R,17-03-2000,UNI
EVER AFTER,1.03,65.7,0.0295588,4.18509893,0.01283722,1.81756537,Romance,PG-13,31-07-1998,FOX
Exit Wounds,3.07,51.7,1.12167756,3.94545778,0.48713838,1.71349054,Action/Adventure,R,16-03-2001,WB
"Exorcist 2000, The",2.05,39.7,0.71783979,3.68135119,0.31175386,1.59879051,Horror/Thriller,R,22-09-2000,WB
Eye Of The Beholder,0.78,16.4,-0.2484614,2.79728133,-0.1079054,1.21484385,Horror/Thriller,R,28-01-2000,SNY
Eyes Wide Shut,1.74,55.6,0.55388511,4.0181832,0.24054925,1.74507479,Drama,R,16-07-1999,WB
"FACULTY, THE",0.31,40,-1.171183,3.68887945,-0.5086383,1.60205999,Horror/Thriller,R,25-12-1998,BV
Family Man,2.63,75.8,0.96698385,4.32809829,0.41995575,1.87966921,Drama,PG-13,22-12-2000,UNI
Fantasia 2000,0.26,60.3,-1.3470736,4.0993321,-0.5850267,1.78031731,Family,G,16-06-2000,BV
FEAR AND LOATHING IN LAS VEGAS,0.43,10.6,-0.8439701,2.360854,-0.3665315,1.02530587,Comedy,R,22-05-1998,UNI
Fight Club,1.33,36.8,0.28517894,3.60549785,0.12385164,1.56584782,Drama,R,15-10-1999,FOX
Final Destination,2.24,53.2,0.80647587,3.9740584,0.35024802,1.72591163,Horror/Thriller,R,17-03-2000,NL
Final Fantasy: The Spirits Within,0.86,32.1,-0.1508229,3.46885603,-0.0655015,1.50650503,Sci-Fi/Fantasy,PG-13,11-07-2001,SNY
Finding Forrester,1.45,51.6,0.37156356,3.94352167,0.161368,1.7126497,Drama,PG-13,20-12-2000,SNY
"Flintstone's Viva Rock Vegas, The",1.27,35.2,0.2390169,3.56104608,0.10380372,1.54654266,Family,PG,28-04-2000,UNI
For Love Of The Game,0.96,35.1,-0.040822,3.55820113,-0.0177288,1.54530712,Drama,PG-13,17-09-1999,UNI
FORCES OF NATURE,1.52,52.9,0.41871033,3.96840334,0.18184359,1.72345567,Comedy,PG-13,19-03-1999,DRW
"Forsaken, The",0.23,6.8,-1.469676,1.91692261,-0.6382722,0.83250891,Horror/Thriller,R,27-04-2001,SNY
Freddy Got Fingered,0.46,14.2,-0.7765288,2.65324196,-0.3372422,1.15228834,Comedy,R,20-04-2001,FOX
Frequency,1.4,45,0.33647224,3.80666249,0.14612804,1.65321251,Drama,PG-13,28-04-2000,NL
Galaxy Quest,1.64,70.2,0.49469624,4.25134831,0.21484385,1.84633711,Action/Adventure,PG,25-12-1999,DRW
Get Carter,0.81,14.9,-0.210721,2.70136121,-0.091515,1.17318627,Action/Adventure,R,06-10-2000,WB
Get Over It,0.32,11.3,-1.1394343,2.42480273,-0.49485,1.05307844,Comedy,PG-13,09-03-2001,BV
Gift,,11.9,,2.4765384,,1.07554696,Drama,R,20-12-2000,PAR
Girl Interrupted,1.16,28.6,0.14842001,3.35340672,0.06445799,1.45636603,Drama,R,21-11-1999,SNY
Gladiator,4.22,187.3,1.43983513,5.23271161,0.62531245,2.27253778,Drama,R,05-05-2000,DRW
GO,0.41,16.8,-0.8915981,2.82137889,-0.3872161,1.22530928,Comedy,R,09-04-1999,SNY
GODS AND MONSTERS,0.12,6.4,-2.1202635,1.85629799,-0.9208188,0.80617997,Drama,R,06-11-1998,UNI
GODZILLA,1.2,136,0.18232156,4.91265489,0.07918125,2.13353891,Sci-Fi/Fantasy,PG-13,22-05-1998,SNY
Godzilla 2000,0.25,9.8,-1.3862944,2.28238239,-0.60206,0.99122608,Action/Adventure,PG,18-08-2000,SNY
Gone in 60 Seconds,3.85,101.5,1.34807315,4.6200588,0.58546073,2.00646604,Action/Adventure,PG-13,09-06-2000,BV
GONE WITH THE WIND,0.06,6.3,-2.8134107,1.84054963,-1.2218487,0.79934055,Drama,,26-06-1998,WB
Gossip,0.21,5.1,-1.5606477,1.62924054,-0.6777807,0.70757018,Drama,R,21-04-2000,WB
"Green Mile, The",4.28,136.8,1.45395301,4.91852001,0.63144377,2.1360861,Drama,R,10-12-1999,WB
HALLOWEEN: H20,1.19,55,0.17395331,4.00733319,0.07554696,1.74036269,Horror/Thriller,R,07-08-1998,BV
Hanging Up,1.15,36,0.13976194,3.58351894,0.06069784,1.5563025,Comedy,PG-13,18-02-2000,SNY
Hannibal,3.33,165.1,1.2029723,5.10655135,0.52244423,2.21774707,Horror/Thriller,R,09-02-2001,MGM
"Haunting, The",2.48,90.1,0.90825856,4.50092016,0.39445168,1.95472479,Horror/Thriller,PG-13,23-07-1999,DRW
Head Over Heels,0.27,9.9,-1.3093333,2.29253476,-0.5686362,0.99563519,Comedy,PG-13,02-02-2001,UNI
Heartbreakers,1.57,40.3,0.45107562,3.69635147,0.19589965,1.60530505,Comedy,PG-13,23-03-2001,MGM
Here on Earth,0.23,10.5,-1.469676,2.35137526,-0.6382722,1.0211893,Drama,PG-13,24-03-2000,FOX
High Fidelity,0.64,27.3,-0.4462871,3.3068867,-0.19382,1.43616265,Romance,R,31-03-2000,BV
Highlander: Endgame,0.39,12.7,-0.9416085,2.54160199,-0.4089354,1.10380372,Sci-Fi/Fantasy,R,01-09-2000,BV
Hollow Man,3.37,73.1,1.21491274,4.29182837,0.5276299,1.86391738,Horror/Thriller,R,04-08-2000,SNY
HOLY MAN,1.06,12.1,0.05826891,2.49320545,0.02530587,1.08278537,Comedy,PG,09-10-1998,BV
HOME FRIES,0.24,10.4,-1.4271164,2.34180581,-0.6197888,1.01703334,Romance,PG-13,27-11-1998,WB
"HORSE WHISPERER, THE",1.32,75.4,0.27763174,4.32280728,0.12057393,1.87737135,Drama,PG-13,15-05-1998,BV
House on Haunted Hill,2.15,40.8,0.76546784,3.70868208,0.33243846,1.61066016,Horror/Thriller,R,29-10-1999,WB
HOW STELLA GOT HER GROOVE BACK,2.02,37.7,0.70309751,3.62966009,0.30535137,1.57634135,Romance,R,14-08-1998,FOX
"Hurricane, The",1.7,50.7,0.53062825,3.92592591,0.23044892,1.70500796,Drama,R,29-12-1999,UNI
I Dreamed of Africa,0.11,6.4,-2.2072749,1.85629799,-0.9586073,0.80617997,Drama,PG-13,05-05-2000,SNY
I STILL KNOW WHAT YOU DID LAST SUMMER,1.7,40,0.53062825,3.68887945,0.23044892,1.60205999,Horror/Thriller,R,13-11-1998,SNY
"Ideal Husband, An",0.48,18.5,-0.7339692,2.91777073,-0.3187588,1.26717173,Comedy,PG-13,18-06-1999,BV
I'LL BE HOME FOR CHRISTMAS,0.53,12.2,-0.6348783,2.50143595,-0.2757241,1.08635983,Comedy,PG,13-11-1998,BV
"In Crowd, The",0.26,5.2,-1.3470736,1.64865863,-0.5850267,0.71600334,Drama,PG-13,19-07-2000,WB
IN DREAMS,0.49,11.3,-0.7133499,2.42480273,-0.3098039,1.05307844,Horror/Thriller,R,15-01-1999,DRW
In Too Deep,0.86,14,-0.1508229,2.63905733,-0.0655015,1.14612804,Horror/Thriller,R,25-08-1999,BV
"Insider, The",0.46,28.4,-0.7765288,3.34638915,-0.3372422,1.45331834,Drama,R,05-11-1999,BV
Inspector Gadget,1.37,94.8,0.31481074,4.55176941,0.13672057,1.97680834,Family,PG,23-07-1999,BV
Instinct,0.96,34,-0.040822,3.52636052,-0.0177288,1.53147892,Drama,R,04-06-1999,BV
"Iron Giant, The",0.31,5.5,-1.171183,1.70474809,-0.5086383,0.74036269,Family,PG,06-08-1999,WB
JACK FROST,0.16,34.5,-1.8325815,3.54095932,-0.79588,1.5378191,Comedy,PG,11-12-1998,WB
Joe Dirt,1.84,27,0.60976557,3.29583687,0.26481782,1.43136376,Comedy,PG-13,11-04-2001,SNY
JOHN CARPENTER'S VAMPIRES,1.55,20.2,0.43825493,3.0056826,0.1903317,1.30535137,Horror/Thriller,R,30-10-1998,SNY
Josie & The Pussycats,0.38,14.3,-0.967584,2.66025954,-0.4202164,1.15533604,Comedy,PG-13,11-04-2001,UNI
Keeping the Faith,0.74,37,-0.3011051,3.61091791,-0.1307683,1.56820172,Comedy,PG-13,14-04-2000,BV
"KING AND I, THE",0.21,12,-1.5606477,2.48490665,-0.6777807,1.07918125,Family,G,19-03-1999,WB
Kingdom Come,1.07,23.2,0.06765865,3.14415228,0.02938378,1.36548798,Comedy,PG,11-04-2001,FOX
"Knight's Tale, A",1.2,56,0.18232156,4.02535169,0.07918125,1.74818803,Action/Adventure,PG-13,11-05-2001,SNY
