Title,Subsequent Sales ($MM),Box Office Gross ($MM),Log Subsequent Sales,Log Gross,Log 10 Subsequent Purchase,Log 10 Gross,Genre,Rating,Box Office Date,Studio
KNOCK OFF,0.17,10.1,-1.7719568,2.31253542,-0.7695511,1.00432137,Action/Adventure,R,04-09-1998,SNY
"Ladies Man, The",,13.4,,2.59525471,,1.1271048,Comedy,R,13-10-2000,PAR
Lake Placid,2.07,31.3,0.72754861,3.4436181,0.31597035,1.49554434,Comedy,R,16-07-1999,FOX
Lara Craft: Tomb Raider,,131.1,,4.87596039,,2.11760269,Action/Adventure,PG-13,15-06-2001,PAR
Legally Blonde,4.3,96.4,1.45861502,4.5685062,0.63346846,1.98407703,Comedy,PG-13,13-07-2001,MGM
"Legend of Bagger Vance, The",1.06,30.6,0.05826891,3.42100001,0.02530587,1.48572143,Drama,PG-13,03-11-2000,DRW
Legend of Drunken Master,0.35,11.5,-1.0498221,2.44234704,-0.455932,1.06069784,Action/Adventure,PG-13,20-10-2000,BV
LES MISERABLES,0.26,13.9,-1.3470736,2.63188884,-0.5850267,1.1430148,Drama,PG-13,01-05-1998,SNY
LETHAL WEAPON 4,2.86,129.7,1.05082162,4.86522409,0.45636603,2.11293998,Action/Adventure,R,10-07-1998,WB
LIFE,4.39,63.8,1.47932923,4.15575319,0.64246452,1.80482068,Comedy,R,16-04-1999,UNI
LIFE IS BEAUTIFUL,0.9,57.6,-0.1053605,4.05352257,-0.0457575,1.76042248,Drama,PG-13,23-10-1998,BV
Light It Up,0.32,5.7,-1.1394343,1.74046617,-0.49485,0.75587486,Drama,R,10-10-1999,FOX
Little Nicky,2.79,39.4,1.0260416,3.67376582,0.4456042,1.59549622,Comedy,PG-13,10-11-2000,NL
"Little Vampire, The",0.18,13.5,-1.7147984,2.60268969,-0.7447275,1.13033377,Family,PG,27-10-2000,NL
LIVING OUT LOUD,0.36,12.9,-1.0216512,2.55722731,-0.4436975,1.11058971,Comedy,R,30-10-1998,NL
Loser,0.39,15.5,-0.9416085,2.74084002,-0.4089354,1.1903317,Comedy,PG-13,21-07-2000,SNY
LOST & FOUND,0.12,6.5,-2.1202635,1.87180218,-0.9208188,0.81291336,Comedy,PG-13,23-04-1999,WB
Lost Souls,0.59,16.8,-0.5276327,2.82137889,-0.229148,1.22530928,Horror/Thriller,R,13-10-2000,NL
Love & Basketball,1.79,27.4,0.58221562,3.31054301,0.25285303,1.43775056,Drama,PG-13,21-04-2000,NL
"Love Letter, The",0.24,8.2,-1.4271164,2.10413415,-0.6197888,0.91381385,Comedy,PG-13,21-05-1999,DRW
Lucky Numbers,,10,,2.30258509,,1,Comedy,R,27-10-2000,PAR
MADELINE,0.26,29.8,-1.3470736,3.39450839,-0.5850267,1.47421626,Family,PG,10-07-1998,SNY
MAFIA!,0.92,19.9,-0.0833816,2.99071973,-0.0362122,1.29885308,Comedy,PG-13,24-07-1998,BV
Magnolia,0.51,22,-0.6733446,3.09104245,-0.2924298,1.34242268,Drama,R,17-12-1999,NL
Man On The Moon,0.82,35,-0.1984509,3.55534806,-0.0861861,1.54406804,Drama,R,22-12-1999,UNI
"MASK OF ZORRO, THE",0.96,93.8,-0.040822,4.54116486,-0.0177288,1.97220284,Action/Adventure,PG-13,17-07-1998,SNY
"MATRIX, THE",5.99,171.4,1.79009141,5.14400001,0.77742682,2.23401082,Action/Adventure,R,02-04-1999,WB
Max Keeble's Big Move,0.8,17.3,-0.2231436,2.8507065,-0.09691,1.2380461,Comedy,PG,05-10-2001,BV
"Me, Myself & Irene",4.12,90.5,1.41585316,4.50534985,0.61489722,1.95664858,Comedy,R,23-06-2000,FOX
MEET JOE BLACK,1.22,44.6,0.19885086,3.79773386,0.08635983,1.64933486,Romance,PG-13,13-11-1998,UNI
Meet the Parents,5.34,166.2,1.67522565,5.11319188,0.72754126,2.22063102,Comedy,PG-13,06-10-2000,UNI
Memento,0.48,25.5,-0.7339692,3.23867845,-0.3187588,1.40654018,Drama,R,16-03-2001,MISC
Men of Honor,2.46,48.8,0.90016135,3.88773031,0.39093511,1.68841982,Drama,R,10-11-2000,FOX
MESSAGE IN A BOTTLE,1.29,52.8,0.25464222,3.96651119,0.11058971,1.72263392,Romance,PG-13,12-02-1999,WB
Messenger: The Story of Joan of Arc,0.53,14.1,-0.6348783,2.6461748,-0.2757241,1.14921911,Drama,R,12-11-1999,SNY
"Mexican, The",1.86,66.8,0.62057649,4.20170308,0.26951294,1.82477646,Romance,R,02-03-2001,DRW
Mickey Blue Eyes,1.32,33.6,0.27763174,3.51452607,0.12057393,1.52633928,Comedy,PG-13,20-08-1999,WB
MIGHTY JOE YOUNG,1.31,50.6,0.27002714,3.92395158,0.1172713,1.70415052,Family,PG,25-12-1998,BV
Miss Congeniality,5.11,106.8,1.6311994,4.67095793,0.7084209,2.02857125,Comedy,PG-13,22-12-2000,WB
Mission to Mars,1.79,60.9,0.58221562,4.10923317,0.25285303,1.78461729,Action/Adventure,PG,10-03-2000,BV
Mission: Impossible 2,,215.4,,5.37249676,,2.3332457,Action/Adventure,PG-13,24-05-2000,PAR
"MOD SQUAD, THE",0.71,13.3,-0.3424903,2.58776404,-0.1487417,1.12385164,Action/Adventure,R,26-03-1999,MGM
Monkeybone,0.22,5.4,-1.5141277,1.68639895,-0.6575773,0.73239376,Animation,PG-13,23-02-2001,FOX
"Mummy Returns, The",3.46,202,1.24126859,5.3082677,0.5390761,2.30535137,Action/Adventure,PG-13,04-05-2001,UNI
"MUMMY, THE",3.47,155.2,1.24415459,5.04471461,0.54032947,2.19089172,Action/Adventure,PG-13,07-05-1999,UNI
MUPPETS FROM SPACE,0.46,16.3,-0.7765288,2.79116511,-0.3372422,1.2121876,Family,G,16-07-1999,SNY
"Muse, The",0.21,11.5,-1.5606477,2.44234704,-0.6777807,1.06069784,Comedy,PG-13,27-08-1999,UNI
Music of the Heart,0.26,14.8,-1.3470736,2.69462718,-0.5850267,1.17026172,Drama,PG,29-10-1999,BV
My Dog Skip,0.74,34.1,-0.3011051,3.52929738,-0.1307683,1.53275438,Family,PG,03-03-2000,WB
MY FAVORITE MARTIAN,1.11,36.8,0.10436002,3.60549785,0.04532298,1.56584782,Family,PG,12-02-1999,BV
Mystery Alaska,0.31,8.8,-1.171183,2.17475172,-0.5086383,0.94448267,Comedy,R,01-10-1999,BV
Mystery Men,1.26,29.7,0.23111172,3.39114705,0.10037055,1.47275645,Comedy,PG-13,06-08-1999,UNI
"NEGOTIATOR, THE",1.81,44.5,0.59332685,3.79548919,0.25767857,1.64836001,Action/Adventure,R,31-07-1998,WB
NEVER BEEN KISSED,2.1,55.5,0.74193734,4.01638302,0.32221929,1.74429298,Comedy,PG-13,09-04-1999,FOX
"Next Best Thing, The",,15,,2.7080502,,1.17609126,Comedy,PG-13,03-03-2000,PAR
Next Friday,3.68,57.2,1.30291275,4.0465539,0.56584782,1.75739603,Comedy,R,12-01-2000,NL
NOTTING HILL,2.93,116,1.07500242,4.75359019,0.46686762,2.06445799,Romance,PG-13,28-05-1999,UNI
Nurse Betty,1.05,24.5,0.04879016,3.19867312,0.0211893,1.38916608,Comedy,R,08-09-2000,USA
Nutty Professor 2: The Klumps,2.99,123.1,1.09527339,4.81299703,0.47567119,2.09025805,Comedy,PG-13,28-07-2000,UNI
"O Brother, Where Art Thou?",1.57,45.5,0.45107562,3.81771233,0.19589965,1.6580114,Comedy,PG-13,22-12-2000,BV
OCTOBER SKY,0.44,31.5,-0.8209806,3.44998755,-0.3565473,1.49831055,Drama,PG,19-02-1999,UNI
OFFICE SPACE,0.39,10.8,-0.9416085,2.37954613,-0.4089354,1.03342376,Comedy,R,19-02-1999,FOX
One Night at McCools,0.12,6.3,-2.1202635,1.84054963,-0.9208188,0.79934055,Comedy,R,27-04-2001,USA
ONE TRUE THING,0.54,23.2,-0.6161861,3.14415228,-0.2676062,1.36548798,Drama,R,18-09-1998,UNI
"Original Kings of Comedy, The",,38.1,,3.64021428,,1.58092498,Comedy,R,18-08-2000,PAR
Osmosis Jones,0.22,13.6,-1.5141277,2.61006979,-0.6575773,1.13353891,Animation,PG,10-08-2001,WB
"OTHER SISTER, THE",0.98,27.8,-0.0202027,3.32503602,-0.0087739,1.4440448,Drama,PG-13,26-02-1999,BV
OUT OF SIGHT,1.48,37.3,0.39204209,3.61899333,0.17026172,1.57170883,Drama,R,26-06-1998,UNI
Outside Providence,0.24,7.3,-1.4271164,1.98787435,-0.6197888,0.86332286,Comedy,R,01-09-1999,BV
"PARENT TRAP, THE",1,66.3,0,4.1941899,0,1.82151353,Comedy,PG,31-07-1998,BV
PATCH ADAMS,2.59,134.9,0.95165788,4.90453376,0.41329976,2.13001195,Comedy,PG-13,25-12-1998,UNI
"Patriot, The",2.74,113.1,1.00795792,4.72827238,0.43775056,2.0534626,Action/Adventure,R,28-06-2000,SNY
Pay It Forward,1.26,33.4,0.23111172,3.5085559,0.10037055,1.52374647,Drama,PG-13,20-10-2000,WB
"Perfect Storm, The",3.29,182,1.19088756,5.20400669,0.5171959,2.26007139,Action/Adventure,PG-13,30-06-2000,WB
Pitch Black,1.83,39.2,0.60431597,3.66867675,0.26245109,1.59328607,Horror/Thriller,R,18-02-2000,USA
Play it To The Bone,3.15,8.4,1.14740245,2.12823171,0.49831055,0.92427929,Drama,R,21-01-2000,BV
PLEASANTVILLE,1.2,40.6,0.18232156,3.70376807,0.07918125,1.60852603,Drama,PG-13,23-10-1998,NL
"Pledge, The",0.62,19.7,-0.4780358,2.98061864,-0.2076083,1.29446623,Drama,R,19-01-2001,WB
Pokemon 3,0.24,17.1,-1.4271164,2.83907846,-0.6197888,1.23299611,Animation,G,06-04-2001,WB
Pokemon: The First Movie,0.98,115,-0.0202027,4.74493213,-0.0087739,2.06069784,Animation,G,10-11-1999,WB
Pokemon: The Movie 2000,0.55,43.6,-0.597837,3.77505715,-0.2596373,1.63948649,Animation,G,21-07-2000,WB
Pollock,0.05,8.6,-2.9957323,2.1517622,-1.30103,0.93449845,Drama,R,16-02-2001,SNY
PRACTICAL MAGIC,2.43,46.6,0.88789126,3.84160054,0.38560627,1.66838592,Drama,PG-13,16-10-1998,WB
"PRINCE OF EGYPT, THE",1.39,101.2,0.32930375,4.61709876,0.1430148,2.00518051,Animation,PG,18-12-1998,DRW
Proof of Life,1.28,32.6,0.24686008,3.48431229,0.10720997,1.5132176,Action/Adventure,R,08-12-2000,WB
PSYCHO,1.28,21.4,0.24686008,3.06339092,0.10720997,1.33041377,Horror/Thriller,R,04-12-1998,UNI
PUSHING TIN,0.38,8.4,-0.967584,2.12823171,-0.4202164,0.92427929,Comedy,R,23-04-1999,FOX
QUEST FOR CAMELOT,0.34,22.7,-1.0788097,3.12236492,-0.4685211,1.35602586,Animation,G,15-05-1998,WB
Quills,0.16,7,-1.8325815,1.94591015,-0.79588,0.84509804,Drama,R,22-11-2000,FOX
"RAGE: CARRIE 2, THE",1.41,17.8,0.3435897,2.87919846,0.14921911,1.25042,Horror/Thriller,R,12-03-1999,MGM
Random Hearts,1.27,31,0.2390169,3.4339872,0.10380372,1.49136169,Drama,R,08-10-1999,SNY
Ready to Rumble,0.39,12.4,-0.9416085,2.51769647,-0.4089354,1.09342169,Comedy,PG-13,07-04-2000,WB
Recess: School's Out,0.59,36.7,-0.5276327,3.60277676,-0.229148,1.56466606,Animation,G,16-02-2001,BV
Red Planet,1.54,17.7,0.43178242,2.87356464,0.18752072,1.24797327,Sci-Fi/Fantasy,PG-13,10-11-2000,WB
"Red Violin, The",0.11,10,-2.2072749,2.30258509,-0.9586073,1,Drama,R,11-06-1999,UNI
Reindeer Games,1.89,23.4,0.63657683,3.15273602,0.2764618,1.36921586,Action/Adventure,R,25-02-2000,BV
Remember the Titans,2.99,115.6,1.09527339,4.75013596,0.47567119,2.06295783,Drama,PG,29-09-2000,BV
"Replacements, The",1.97,44.5,0.67803354,3.79548919,0.29446623,1.64836001,Comedy,PG-13,11-08-2000,WB
Return to Me,0.95,32.6,-0.0512933,3.48431229,-0.0222764,1.5132176,Drama,PG,07-04-2000,MGM
RETURN TO PARADISE,0.16,8.3,-1.8325815,2.11625551,-0.79588,0.91907809,Drama,R,14-08-1998,UNI
"Road to El Dorado, The",0.84,50.8,-0.1743534,3.92789635,-0.0757207,1.70586371,Animation,PG,31-03-2000,DRW
Road Trip,2.51,68.5,0.92028275,4.22683375,0.39967372,1.83569057,Comedy,R,19-05-2000,DRW
Romeo Must Die,2.27,56,0.81977983,4.02535169,0.35602586,1.74818803,Action/Adventure,R,22-03-2000,WB
RONIN,1.12,41.6,0.11332869,3.72810017,0.04921802,1.61909333,Action/Adventure,R,25-09-1998,MGM
ROUNDERS,0.75,22.9,-0.2876821,3.13113691,-0.1249387,1.35983548,Drama,R,11-09-1998,BV
Rugrats in Paris,,76.5,,4.33729074,,1.88366144,Animation,G,17-11-2000,PAR
Rules of Engagement,,61.3,,4.11577984,,1.78746047,Drama,R,07-04-2000,PAR
Run Lola Run,0.16,6.9,-1.8325815,1.93152141,-0.79588,0.83884909,Drama,R,18-06-1999,SNY
RUSH HOUR,4.05,141.2,1.39871688,4.95017733,0.60745502,2.1498347,Action/Adventure,PG-13,18-09-1998,NL
RUSHMORE,0.43,17.1,-0.8439701,2.83907846,-0.3665315,1.23299611,Drama,R,11-12-1998,BV
Save the Last Dance,,91,,4.51085951,,1.95904139,Romance,PG-13,12-01-2001,PAR
Saving Grace,0.25,12.1,-1.3862944,2.49320545,-0.60206,1.08278537,Comedy,R,01-09-2000,NL
SAVING PRIVATE RYAN,4.01,216.1,1.38879124,5.37574126,0.60314437,2.33465477,Action/Adventure,R,24-07-1998,DRW
Saving Silverman,0.56,19.4,-0.5798185,2.96527307,-0.251812,1.28780173,Comedy,PG-13,09-02-2001,SNY
Say It Isn't So,0.41,5.5,-0.8915981,1.70474809,-0.3872161,0.74036269,Comedy,R,23-03-2001,FOX
Scary Movie,5.52,156.8,1.70837786,5.05497111,0.74193908,2.19534606,Comedy,R,07-07-2000,BV
Scream 3,2.71,89.1,0.99694863,4.48975933,0.43296929,1.9498777,Comedy,R,04-02-2000,BV
See Spot Run,0.76,33.3,-0.2744368,3.5055574,-0.1191864,1.52244423,Comedy,PG,02-03-2001,WB
Shadow of the Vampire,0.29,8.3,-1.2378744,2.11625551,-0.537602,0.91907809,Drama,R,29-12-2000,UNI
Shaft,,70.3,,4.2527718,,1.84695533,Action/Adventure,R,16-06-2000,PAR
SHAKESPEARE IN LOVE,1.2,100.2,0.18232156,4.60716819,0.07918125,2.00086772,Romance,R,11-12-1998,BV
Shakespeare's Midsummer Night Dream,0.23,15.7,-1.469676,2.75366071,-0.6382722,1.19589965,Comedy,PG-13,14-05-1999,FOX
Shanghai Noon,1.66,56.9,0.5068176,4.04129534,0.22010809,1.75511227,Comedy,PG-13,26-05-2000,BV
SHE'S ALL THAT,2.43,63.3,0.88789126,4.14788533,0.38560627,1.80140371,Romance,PG-13,29-01-1999,BV
Shrek,3.43,267.6,1.23256026,5.58949333,0.53529412,2.42748611,Animation,PG,18-05-2001,DRW
"SIEGE, THE",1.81,40.9,0.59332685,3.71113006,0.25767857,1.61172331,Action/Adventure,R,06-11-1998,FOX
SIMON BIRCH,0.6,18.3,-0.5108256,2.90690106,-0.2218487,1.26245109,Drama,PG,11-09-1998,BV
"SIX DAYS, SEVEN NIGHTS",2.14,74.3,0.76080583,4.30811095,0.33041377,1.87098881,Action/Adventure,PG-13,12-06-1998,BV
Sixth Sense,5.91,293.5,1.77664583,5.68187764,0.77158748,2.46760811,Horror/Thriller,PG-13,06-08-1999,BV
"Skulls, The",1.64,35,0.49469624,3.55534806,0.21484385,1.54406804,Horror/Thriller,PG-13,31-03-2000,UNI
SLUMS OF BEVERLY HILLS,0.59,5.5,-0.5276327,1.70474809,-0.229148,0.74036269,Comedy,R,14-08-1998,FOX
Small Time Crooks,0.23,17.1,-1.469676,2.83907846,-0.6382722,1.23299611,Comedy,PG-13,19-05-2000,DRW
SMOKE SIGNALS,0.11,6.7,-2.2072749,1.90210753,-0.9586073,0.8260748,Comedy,PG-13,26-06-1998,BV
Snatch,0.74,30.1,-0.3011051,3.40452517,-0.1307683,1.4785665,Action/Adventure,R,19-01-2001,SNY
Snow Day,,60,,4.09434456,,1.77815125,Comedy,PG,11-02-2000,PAR
Snow Falling on Cedars,0.3,14.4,-1.2039728,2.66722821,-0.5228787,1.15836249,Drama,PG-13,22-12-1999,UNI
SOLDIER,0.4,14.6,-0.9162907,2.68102153,-0.39794,1.16435286,Sci-Fi/Fantasy,R,23-10-1998,WB
Someone Like You,0.99,27.3,-0.0100503,3.3068867,-0.0043648,1.43616265,Romance,PG-13,30-03-2001,FOX
Space Cowboys,2.43,90.2,0.88789126,4.50202943,0.38560627,1.95520654,Action/Adventure,PG-13,04-08-2000,WB
Spy Kids,1.86,112.7,0.62057649,4.72472942,0.26951294,2.05192392,Family,PG,30-03-2001,BV
State and Main,0.2,7,-1.6094379,1.94591015,-0.69897,0.84509804,Comedy,R,22-12-2000,NL
STEPMOM,2.92,91,1.07158362,4.51085951,0.46538285,1.95904139,Drama,PG-13,25-12-1998,SNY
Stigmata,2.73,50,1.00430161,3.91202301,0.43616265,1.69897,Horror/Thriller,R,10-09-1999,MGM
Story of Us,1.22,27,0.19885086,3.29583687,0.08635983,1.43136376,Romance,R,15-10-1999,UNI
"Straight Story, The",0.07,6,-2.65926,1.79175947,-1.154902,0.77815125,Drama,G,15-10-1999,BV
Stuart Little,2.61,138.7,0.95935022,4.93231333,0.41664051,2.14207646,Family,PG,17-12-1999,SNY
Sugar and Spice,0.48,13,-0.7339692,2.56494936,-0.3187588,1.11394335,Comedy,PG-13,26-01-2001,NL
Summer of Sam,1.01,19.2,0.00995033,2.95491028,0.00432137,1.28330123,Drama,R,02-07-1999,BV
Supernova,0.72,14.2,-0.3285041,2.65324196,-0.1426675,1.15228834,Sci-Fi/Fantasy,PG-13,14-01-2000,MGM
Sweet November,1.02,25.2,0.01980263,3.22684399,0.00860017,1.40140054,Romance,R,16-02-2001,WB
Swordfish,3.5,69.7,1.25276297,4.24420032,0.54406804,1.84323278,Action/Adventure,R,08-06-2001,WB
Tailor of Panama,0.37,13.5,-0.9942523,2.60268969,-0.4317983,1.13033377,Drama,R,30-03-2001,SNY
Tarzan,0.47,171,-0.7550226,5.14166356,-0.3279021,2.23299611,Animation,G,18-06-1999,BV
Tea With Mussolini,0.16,14.2,-1.8325815,2.65324196,-0.79588,1.15228834,Drama,PG,14-05-1999,MGM
Teaching Mrs. Tingle,0.26,8.9,-1.3470736,2.18605128,-0.5850267,0.94939001,Comedy,PG-13,20-08-1999,BV
THERE'S SOMETHING ABOUT MARY,4.09,176.5,1.40854497,5.17332088,0.61172331,2.24674471,Comedy,R,17-07-1998,FOX
"THIN RED LINE, THE",1.24,36.4,0.21511138,3.59456877,0.09342169,1.56110138,Action/Adventure,R,25-12-1998,FOX
Thirteen  Days,0.68,34.6,-0.3856625,3.54385368,-0.1674911,1.5390761,Drama,PG-13,25-12-2000,NL
"THIRTEENTH FLOOR, THE",0.95,11.8,-0.0512933,2.46809953,-0.0222764,1.07188201,Mystery,R,28-05-1999,SNY
Thomas and the Magic Railroad,0.07,15.9,-2.65926,2.76631911,-1.154902,1.20139712,Family,G,26-07-2000,Destination
"Thomas Crown Affair, the",1.97,69,0.67803354,4.2341065,0.29446623,1.83884909,Romance,R,06-08-1999,MGM
Three Kings,2.11,60.5,0.74668795,4.10264337,0.32428246,1.78175537,Drama,R,01-10-1999,WB
Three Strikes,0.57,9.7,-0.5621189,2.27212589,-0.2441251,0.98677173,Comedy,R,01-03-2000,MGM
Three To Tango,0.36,10.5,-1.0216512,2.35137526,-0.4436975,1.0211893,Comedy,PG-13,22-10-1999,WB
"Tigger Movie, The",0.85,45.9,-0.1625189,3.82646512,-0.0705811,1.66181269,Animation,G,11-02-2000,BV
Titan A.E.,0.45,22.7,-0.7985077,3.12236492,-0.3467875,1.35602586,Animation,PG,16-06-2000,FOX
Tomcats,0.31,13.6,-1.171183,2.61006979,-0.5086383,1.13353891,Comedy,R,30-03-2001,SNY
Topsy-Turvy,0.01,6,-4.6051702,1.79175947,-2,0.77815125,Drama,R,17-12-1999,UNI
Town & Country,,6.7,,1.90210753,,0.8260748,Comedy,R,27-04-2001,NL
Toy Story 2,1.59,245.8,0.46373402,5.5045182,0.20139712,2.39058188,Animation,G,24-11-1999,BV
Traffic,2.91,124.1,1.06815308,4.82108769,0.46389299,2.09377178,Drama,R,27-12-2000,USA
TRUE CRIME,0.67,16.6,-0.4004776,2.8094027,-0.1739252,1.22010809,Drama,R,19-03-1999,WB
TWIN DRAGONS,0.51,8.3,-0.6733446,2.11625551,-0.2924298,0.91907809,Action/Adventure,PG-13,09-04-1999,BV
U-571,2.72,77.1,1.00063188,4.34510328,0.4345689,1.88705438,Action/Adventure,PG-13,21-04-2000,UNI
Unbreakable,2.73,94.9,1.00430161,4.55282371,0.43616265,1.97726621,Horror/Thriller,PG-13,22-11-2000,BV
Universal Soldier: The Return,0.52,10.1,-0.6539265,2.31253542,-0.2839967,1.00432137,Action/Adventure,R,20-08-1999,SNY
URBAN LEGEND,0.96,38,-0.040822,3.63758616,-0.0177288,1.5797836,Horror/Thriller,R,25-09-1998,SNY
Urban Legends: Final Cut,1.05,21.4,0.04879016,3.06339092,0.0211893,1.33041377,Horror/Thriller,R,22-09-2000,SNY
Valentine,1.01,20.3,0.00995033,3.01062089,0.00432137,1.30749604,Horror/Thriller,R,02-02-2001,WB
Vertical Limit,1.69,68.1,0.52472853,4.22097721,0.2278867,1.83314711,Action/Adventure,PG-13,08-12-2000,SNY
VERY BAD THINGS (HC),0.45,9.8,-0.7985077,2.28238239,-0.3467875,0.99122608,Comedy,R,27-11-1998,UNI
VIRUS,0.67,14,-0.4004776,2.63905733,-0.1739252,1.14612804,Horror/Thriller,R,15-01-1999,UNI
WAKING NED DEVINE,0.73,24.8,-0.3147107,3.21084365,-0.1366771,1.39445168,Comedy,PG,20-11-1998,FOX
"Watcher, The",1.41,28.9,0.3435897,3.3638416,0.14921911,1.46089784,Mystery,R,08-09-2000,UNI
"WATERBOY, THE",3.99,161.5,1.38379123,5.08450514,0.6009729,2.20817253,Comedy,PG-13,06-11-1998,BV
Way of the Gun,,6,,1.79175947,,0.77815125,Horror/Thriller,R,08-09-2000,ART
"Wedding Planner, The",2.65,60.4,0.97455964,4.1009891,0.42324587,1.78103694,Comedy,PG-13,26-01-2001,SNY
Wes Craven Presents: Dracula 2000,1.33,32.9,0.28517894,3.49347266,0.12385164,1.5171959,Horror/Thriller,R,22-12-2000,BV
WHAT DREAMS MAY COME,1.29,55.4,0.25464222,4.01457959,0.11058971,1.74350976,Drama,PG-13,02-10-1998,UNI
What Lies Beneath,2.97,155.4,1.08856195,5.04600244,0.47275645,2.19145101,Horror/Thriller,PG-13,21-07-2000,DRW
What Planet Are you From,0.07,5.3,-2.65926,1.66770682,-1.154902,0.72427587,Comedy,R,03-03-2000,SNY
What Women Want,,185.2,,5.22143632,,2.26764098,Comedy,PG-13,15-12-2000,PAR
Whatever It Takes,0.1,8.7,-2.3025851,2.16332303,-1,0.93951925,Comedy,PG-13,24-03-2000,SNY
Where the Heart Is,1.44,33.8,0.36464311,3.5204608,0.15836249,1.5289167,Drama,PG-13,28-04-2000,FOX
Where the Money Is,,5.6,,1.7227666,,0.74818803,Drama,PG-13,14-04-2000,USA
"Whole Nine Yards, The",2.66,57.3,0.97832612,4.04830062,0.42488164,1.75815462,Comedy,R,18-02-2000,WB
WHY DO FOOLS FALL IN LOVE,0.7,12.4,-0.3566749,2.51769647,-0.154902,1.09342169,Drama,R,28-08-1998,WB
Wild Wild West,2.49,136.1,0.91228271,4.91338991,0.39619935,2.13385813,Action/Adventure,PG-13,30-06-1999,WB
WING COMMANDER,0.32,11.3,-1.1394343,2.42480273,-0.49485,1.05307844,Sci-Fi/Fantasy,PG-13,12-03-1999,FOX
Woman on Top,,5,,1.60943791,,0.69897,Romance,R,22-09-2000,FOX
Wonder Boys,,19.4,,2.96527307,,1.28780173,Drama,R,25-02-2000,PAR
"World is not Enough, The",1.58,126.8,0.45742485,4.84261104,0.19865709,2.10311925,Action/Adventure,PG-13,19-11-1999,MGM
WRONGFULLY ACCUSED,0.25,9.6,-1.3862944,2.2617631,-0.60206,0.98227123,Comedy,PG-13,21-08-1998,WB
X-Men,3.05,157,1.11514159,5.05624581,0.48429984,2.19589965,Action/Adventure,PG-13,14-07-2000,FOX
You Can Count on Me,,9.5,,2.2512918,,0.97772361,Drama,R,17-11-2000,PAR
YOU'VE GOT MAIL,2.37,115.7,0.86288996,4.75100063,0.37474835,2.06333336,Romance,PG,18-12-1998,WB