Score_Rank,University,Country,Numb_students_per_Staff,Percentage_International_Students,Percentage_Female,Percentage_Male,Teaching_indicator(Max=100),Research_indicator(Max=100),Industry_Income_indicator(Max=100),International_Outlook_indicator(Max=100),Overall Score_(Max=100)
1,University of Oxford,United Kingdom,11.2,41%,46%,54%,90.5,99.6,65.5,96.4,95.4
2,California Institute of Technology,United States,6.4,30%,34%,66%,92.1,97.2,88,82.5,94.5
3,University of Cambridge,United Kingdom,10.9,37%,47%,53%,91.4,98.7,59.3,95,94.4
4,Stanford University,United States,7.3,23%,43%,57%,92.8,96.4,66.2,79.5,94.3
5,Massachusetts Institute of Technology,United States,8.6,34%,39%,61%,90.5,92.4,86.9,89,93.6
6,Princeton University,United States,8.1,25%,45%,55%,90.3,96.3,58.6,81.1,93.2
7,Harvard University,United States,9.2,24%,49%,51%,89.2,98.6,47.3,76.3,93
8,Yale University,United States,5.4,20%,50%,50%,92,94.8,52.4,68.7,91.7
9,University of Chicago,United States,5.7,28%,46%,54%,89.1,91.4,52.7,76,90.2
10,Imperial College London,United Kingdom,11.7,56%,38%,62%,84.5,87.6,69.9,97.1,89.8
11,University of Pennsylvania,United States,6.5,21%,52%,48%,87.5,90.4,74,65,89.6
12,Johns Hopkins University,United States,4.5,26%,52%,48%,81.7,91.4,91.3,73.2,89.2
13,"University of California, Berkeley",United States,13.7,17%,50%,50%,83,90.6,46.1,70.4,88.3
13,ETH Zurich,Switzerland,12.5,39%,32%,68%,81.8,92.8,56.8,98.2,88.3
14,UCL,United Kingdom,10.6,52%,57%,43%,77.8,88.7,42.7,96.2,87.1
15,Columbia University,United States,5.8,37%,0%,0%,85.6,82.6,44.8,79.3,87
16,"University of California, Los Angeles",United States,9.4,17%,54%,46%,83.1,88.6,51.3,64.1,86.8
17,University of Toronto,Canada,20.1,21%,59%,41%,76.6,89.5,50.5,84.7,85.5
18,Cornell University,United States,9.8,25%,49%,51%,79.7,86,37.1,73.4,85.1
19,Duke University,United States,4.3,19%,49%,51%,82.4,76.8,99.9,61.5,84
20,University of Michigan-Ann Arbor,United States,8.3,17%,49%,51%,79.4,86.1,47.7,59.2,83.8
21,Northwestern University,United States,12.8,20%,49%,51%,74.2,83.8,78.4,64.1,83.5
22,Tsinghua University,China,12,11%,34%,66%,86.6,94,100,47.4,82.6
23,Peking University,China,11.5,15%,46%,54%,89.1,90,86.6,59.6,82.3
24,National University of Singapore,Singapore,17.9,28%,51%,49%,76.8,90.4,58.8,95.5,81.9
25,University of Washington,United States,11.1,16%,53%,47%,72.2,82.2,47.5,60.4,81.6
26,Carnegie Mellon University,United States,13.6,48%,41%,59%,65.9,82.7,50.5,80.6,81.3
26,London School of Economics and Political Science,United Kingdom,12.1,71%,53%,47%,69,83,35.1,93.2,81.3
27,New York University,United States,8.9,33%,57%,43%,76.8,77.5,38.7,65.4,81.1
28,University of Edinburgh,United Kingdom,12.8,41%,60%,40%,67.3,74.1,38.9,93.8,79.3
29,"University of California, San Diego",United States,13,23%,46%,54%,62.6,78.9,90.3,63.7,78.8
30,LMU Munich,Germany,34.7,17%,61%,39%,68.4,77,100,67.2,77.8
30,University of Melbourne,Australia,26.3,46%,56%,44%,65.9,74.1,76.3,93.1,77.8
31,University of British Columbia,Canada,18.1,32%,55%,45%,61.5,73.2,43.8,94.4,76.3
32,University of Hong Kong,Hong Kong,18.2,44%,54%,46%,69.5,77.2,59.7,98.6,75.9
33,King�s College London,United Kingdom,12.5,44%,62%,38%,61.3,68.5,45.6,95.6,75.7
33,The University of Tokyo,Japan,10.6,12%,0%,0%,85.9,89.6,77.4,38.2,75.7
34,�cole Polytechnique F�d�rale de Lausanne,Switzerland,11.4,59%,28%,72%,66.6,66.3,66.4,98.6,75.4
34,Georgia Institute of Technology,United States,18.3,27%,33%,67%,60.2,76.4,61.6,77.1,75.4
34,University of Texas at Austin,United States,17.2,10%,52%,48%,68.2,76.2,46.6,39.1,75.4
35,Karolinska Institute,Sweden,9,20%,68%,32%,55.4,71.4,71.2,81.2,74.7
36,McGill University,Canada,13,29%,58%,42%,65,71.9,42.8,90.4,74.3
37,Technical University of Munich,Germany,47.8,27%,34%,66%,64.6,70.4,100,72.9,74.1
38,Heidelberg University,Germany,16.1,18%,54%,46%,67.1,60.3,54.6,67.5,73.5
39,KU Leuven,Belgium,36.3,15%,50%,50%,58.7,73.9,99.3,71.8,73.2
39,Paris Sciences et Lettres � PSL Research University Paris,France,11.5,26%,46%,54%,71.6,71.4,52.2,78.7,73.2
40,The Hong Kong University of Science and Technology,Hong Kong,22.3,31%,0%,0%,57.4,66.1,71.9,97.7,73.1
41,University of Illinois at Urbana-Champaign,United States,17.9,24%,47%,53%,63.2,78,47.9,54.3,73
42,"Nanyang Technological University, Singapore",Singapore,15.9,27%,48%,52%,57.6,70.4,76.5,95.1,72.9
43,Australian National University,Australia,17.8,44%,52%,48%,54.4,69.7,46.4,95.5,72.1
44,University of Wisconsin-Madison,United States,10,13%,0%,0%,68.8,70.3,46.3,47.4,72
45,Washington University in St Louis,United States,7.5,20%,0%,0%,64.2,57.5,40.7,57.1,71.5
46,Brown University,United States,10.8,20%,0%,0%,64,56.1,36.5,61.4,70
47,University of North Carolina at Chapel Hill,United States,9.4,8%,57%,43%,59.7,63.2,43.9,38,69.9
48,"University of California, Davis",United States,12,14%,58%,42%,62.4,66.9,51.4,62.4,69.7
48,University of Manchester,United Kingdom,14.4,40%,53%,47%,56.9,63.8,44.7,91,69.7
49,"University of California, Santa Barbara",United States,27.6,16%,52%,48%,47.9,63.6,84.5,68.1,69.6
49,Chinese University of Hong Kong,Hong Kong,18.6,32%,0%,0%,55.8,62.8,55.2,97.8,69.6
50,Wageningen University & Research,Netherlands,21.3,27%,53%,47%,49.3,57.1,100,81.9,69.4
51,University of Sydney,Australia,20.1,39%,58%,42%,51,61.5,67.7,89.2,69.3
52,Boston University,United States,11.6,27%,60%,40%,57.3,55.6,41.4,64.4,68.4
53,University of Amsterdam,Netherlands,13.5,18%,56%,44%,48,63.4,45.3,82,68.1
53,University of Southern California,United States,11.7,25%,53%,47%,54.7,59.3,39.7,66.2,68.1
54,Seoul National University,South Korea,12.4,12%,0%,0%,72.3,71.6,86.6,35.8,68
55,Kyoto University,Japan,9,9%,24%,76%,73.7,78.1,66.2,33.7,67.7
56,University of Queensland,Australia,35.7,34%,55%,45%,49.3,58.7,80.9,92.5,67.4
57,Delft University of Technology,Netherlands,20.2,30%,29%,71%,55.3,72.3,99.4,92.8,66.7
57,Leiden University,Netherlands,18.7,16%,59%,41%,48.3,65,72.7,79.4,66.7
58,Erasmus University Rotterdam,Netherlands,20.4,23%,51%,49%,39.4,57.3,63.6,87.3,66.3
59,Ohio State University (Main campus),United States,12.5,13%,50%,50%,57.5,56.1,53.3,59.5,66.1
60,UNSW Sydney,Australia,35.7,41%,47%,53%,50.2,58.2,57.9,93.7,65.9
61,McMaster University,Canada,28.1,17%,55%,45%,44.5,50.1,94,82.7,65.4
62,University of Groningen,Netherlands,23.8,21%,51%,49%,42.3,55.6,79.8,82.5,65
62,Humboldt University of Berlin,Germany,56.1,17%,0%,0%,61.8,66.8,40.2,67.8,65
63,Monash University,Australia,33.9,39%,57%,43%,47.3,56.6,67.2,89.9,64.7
63,Utrecht University,Netherlands,14.2,9%,59%,41%,44.1,61.2,65.3,65.5,64.7
64,University of Warwick,United Kingdom,13.2,41%,49%,51%,46.9,52.7,42.8,93.8,64.6
65,Penn State (Main campus),United States,15.3,16%,46%,54%,55.2,67.1,52.1,47.4,64.3
66,University of Minnesota,United States,12.4,11%,52%,48%,55.2,59.3,78.2,40.2,64.1
67,Charit� - Universit�tsmedizin Berlin,Germany,17.6,19%,64%,36%,47.6,47.3,92.7,63.5,64
67,Emory University,United States,4,20%,58%,42%,56,40.4,45.4,57.9,64
67,University of Science and Technology of China,China,7.7,4%,0%,0%,64.6,59.5,79.6,31.3,64
67,Sorbonne University,France,13.5,19%,58%,42%,62.3,50.6,38.4,69.2,64
68,Michigan State University,United States,16.5,16%,51%,49%,56.6,57.4,37.8,63.3,63.9
69,University of Montreal,Canada,20.2,22%,0%,0%,48.2,49.7,70,84.1,63.3
69,University of Freiburg,Germany,42.8,23%,54%,46%,49.1,51.6,100,75.7,63.3
70,University of Bristol,United Kingdom,13.6,27%,54%,46%,41.8,48.4,40.9,86.6,63.2
71,Purdue University West Lafayette,United States,15.7,23%,43%,57%,57.5,66.4,64.3,72,63.1
72,Sungkyunkwan University (SKKU),South Korea,19.5,15%,43%,57%,57.6,61.2,97.3,51.1,63
73,University of Zurich,Switzerland,12.3,21%,57%,43%,47,46.7,53,92.2,62.8
73,"University of Maryland, College Park",United States,16.6,11%,48%,52%,46.9,59.1,39.2,41.2,62.8
74,University of T�bingen,Germany,37.5,14%,58%,42%,51.2,56.2,67,64,62.7
75,�cole Polytechnique,France,5.7,40%,22%,78%,59.6,49.1,69.6,95.2,62.6
76,University of Basel,Switzerland,15.8,27%,56%,44%,43,41.2,99.4,96.1,62.4
76,Dartmouth College,United States,7.7,15%,49%,51%,58.4,39.9,41,39.6,62.4
77,"University of California, Irvine",United States,16.5,26%,52%,48%,43.3,46.5,58.9,71.9,62.3
77,University of Helsinki,Finland,16.6,5%,66%,34%,43.4,59.3,38.1,55.1,62.3
78,Lund University,Sweden,12.1,19%,54%,46%,40.7,54.3,81,77.7,62.2
78,University of Glasgow,United Kingdom,15.4,37%,59%,41%,41.1,47.9,40,92.3,62.2
78,RWTH Aachen University,Germany,61.1,21%,32%,68%,55.6,61.5,98.1,59,62.2
79,University of Copenhagen,Denmark,4.3,17%,57%,43%,48.1,44.1,48.1,85.4,62.1
80,Uppsala University,Sweden,16.7,15%,57%,43%,41.6,56.4,74.6,68.1,61.9
81,Georgetown University,United States,8.5,18%,54%,46%,57.3,37.9,62.5,47.2,61.8
81,University of Arizona,United States,18.4,10%,52%,48%,52.6,53.7,52.7,40.2,61.8
82,Rice University,United States,8.9,28%,42%,58%,49.1,39.7,45.4,77,61.7
83,University of Bonn,Germany,67.7,13%,55%,45%,47.6,47,93.3,60.3,61.6
84,University of Virginia (Main campus),United States,8.6,12%,52%,48%,54.4,43.5,41.6,48.9,61.5
84,Zhejiang University,China,10.7,22%,23%,77%,66,64.7,100,61.8,61.5
85,Fudan University,China,11.2,12%,53%,47%,61.9,58.6,58.6,44.8,61.4
86,Korea Advanced Institute of Science and Technology (KAIST),South Korea,10.2,8%,20%,80%,62.6,66.4,99.9,35.5,61.3
86,Queen Mary University of London,United Kingdom,14.1,43%,54%,46%,35.3,43.1,44.1,96.7,61.3
87,University of Birmingham,United Kingdom,15.5,29%,57%,43%,39.6,45.6,39.3,89.2,60.9
88,University of Bern,Switzerland,16.5,16%,56%,44%,44.5,41.2,85,87.3,60.4
88,University of Pittsburgh-Pittsburgh campus,United States,5.8,11%,51%,49%,47.4,45.5,40.7,39.3,60.4
89,Aarhus University,Denmark,14.4,9%,55%,45%,37.2,54,66.7,74.8,60.3
89,Vanderbilt University,United States,3,14%,54%,46%,48.7,42.1,47.5,43,60.3
90,Free University of Berlin,Germany,58.2,21%,59%,41%,57.2,63.3,42.4,71.6,60.1
90,University of Sheffield,United Kingdom,15,34%,50%,50%,45.2,46.4,45.8,87.3,60.1
91,Case Western Reserve University,United States,8.8,23%,50%,50%,48.4,39.9,42.1,52.2,60
92,University of Adelaide,Australia,29.9,29%,49%,51%,34.3,41.6,64.8,91.7,59.9
92,National Taiwan University,Taiwan,11.1,11%,40%,60%,57,62.7,65.4,41.9,59.9
93,University of Southampton,United Kingdom,13.7,34%,53%,47%,40.2,44.3,40.1,94.2,59.8
94,Ghent University,Belgium,37,10%,54%,46%,43.3,55.5,80.9,59.5,59.6
94,University of Colorado Boulder,United States,16.3,11%,44%,56%,44.8,45.6,41.7,47.3,59.6
94,University of G�ttingen,Germany,29.1,13%,51%,49%,49.6,48.6,37,60.9,59.6
95,City University of Hong Kong,Hong Kong,11,45%,59%,41%,41,48.9,62.4,99.6,59.3
96,Maastricht University,Netherlands,18.6,54%,60%,40%,40.2,48.3,82.9,97.6,59
97,Radboud University Nijmegen,Netherlands,17.5,14%,55%,45%,36,49.9,46.2,73,58.9
97,University of York,United Kingdom,14.9,24%,56%,44%,40.3,46.6,36.4,85.4,58.9
98,University of Paris,France,15.5,17%,64%,36%,52,36.1,35.6,66.6,58.8
99,University of Oslo,Norway,12.6,17%,62%,38%,39.6,43.8,40.7,75.5,58.7
99,University of Western Australia,Australia,23.2,29%,49%,51%,32.5,43.9,57,94.3,58.7
100,Durham University,United Kingdom,14.8,30%,55%,45%,45.5,47.8,37.9,91.7,58.5
101,Indiana University,United States,13.6,15%,52%,48%,50.8,49.7,49.8,53.5,58.4
101,University of Vienna,Austria,40.2,27%,66%,34%,48.1,55.3,37.1,94.2,58.4
102,University of Alberta,Canada,21,26%,55%,45%,47.9,48.8,60.5,87.5,58.2
102,University of Cape Town,South Africa,11.9,17%,53%,47%,33.2,42.8,85.3,81.8,58.2
103,Vrije Universiteit Amsterdam,Netherlands,16.5,10%,58%,42%,35.7,48.1,52.5,68.8,58.1
104,Tufts University,United States,9.8,16%,55%,45%,49.1,34.2,38.6,49.6,58
105,Lancaster University,United Kingdom,12.5,38%,51%,49%,34.7,39.4,36,94.2,57.9
106,University of Ottawa,Canada,24.7,19%,59%,41%,41.3,42,46.5,77.7,57.8
106,Ulm University,Germany,27.7,13%,48%,52%,40.6,36.6,75.7,57.5,57.8
106,Pompeu Fabra University,Spain,21.6,13%,60%,40%,37.7,40.1,44.5,66.5,57.8
107,University of Geneva,Switzerland,15.6,39%,61%,39%,38.1,43.7,63.3,98.4,57.6
107,Nanjing University,China,15.5,10%,44%,56%,50.7,48,84.9,57.8,57.6
108,University of Exeter,United Kingdom,17.6,28%,54%,46%,33.9,38.9,37.8,91.9,57.4
108,Pohang University of Science and Technology (POSTECH),South Korea,10.3,3%,23%,77%,51.7,50.9,99.6,32.9,57.4
108,University of Sussex,United Kingdom,16.1,39%,54%,46%,35.3,37.9,35.9,93.6,57.4
109,University of Hamburg,Germany,59.3,12%,56%,44%,44.4,49.8,98.5,58.1,57.3
109,Sant�Anna School of Advanced Studies � Pisa,Italy,12.4,19%,35%,65%,45,42.3,84.7,56,57.3
109,Technical University of Berlin,Germany,60.6,24%,34%,66%,50.4,53.9,92.7,66.2,57.3
110,Universit� Catholique de Louvain,Belgium,39.3,20%,53%,47%,38.8,51.5,53.7,80.5,57.2
110,University of Nottingham,United Kingdom,14.6,29%,54%,46%,42.7,42.6,39.4,87.5,57.2
110,Scuola Normale Superiore di Pisa,Italy,6.8,11%,29%,71%,57.2,38.1,35.9,52.8,57.2
111,Arizona State University (Tempe),United States,21.1,21%,43%,57%,39.3,50.7,38.5,61.8,57.1
111,University of Leeds,United Kingdom,14.2,29%,61%,39%,41.1,45.9,39.9,87.5,57.1
112,Autonomous University of Barcelona,Spain,12.6,16%,59%,41%,40.9,36.1,44.8,64.3,56.9
112,University of Cologne,Germany,36.5,16%,63%,37%,43.6,42.9,70.6,62.9,56.9
112,University of Mannheim,Germany,79.9,18%,56%,44%,41.9,50,58.6,58.5,56.9
112,University of Notre Dame,United States,13.7,12%,45%,55%,52.9,46.2,38.1,55.3,56.9
112,Shanghai Jiao Tong University,China,11.1,13%,44%,56%,58,63,99.9,49.8,56.9
112,TU Dresden,Germany,34.2,14%,42%,58%,46.5,48.5,94.1,55.8,56.9
113,University of W�rzburg,Germany,36.6,10%,56%,44%,38.7,42.4,65.6,61.5,56.8
114,Trinity College Dublin,Ireland,21.9,30%,59%,41%,41.7,43.9,41.2,94.4,56.4
115,University of Liverpool,United Kingdom,13.8,33%,55%,45%,35.2,37.5,38.8,92.2,56.3
116,Bielefeld University,Germany,77.5,8%,57%,43%,36.1,42.7,59.4,48.6,56.1
116,University of Leicester,United Kingdom,14.3,32%,53%,47%,30.1,34.8,38.1,90.7,56.1
117,University of Aberdeen,United Kingdom,15.7,39%,57%,43%,30.4,33.3,45.8,95.7,56
117,University of Bologna,Italy,24,12%,56%,44%,51.5,34.8,45.1,50.7,56
117,"Rutgers, the State University of New Jersey",United States,11.2,17%,52%,48%,47.8,48.5,41.1,51.5,56
118,Hong Kong Polytechnic University,Hong Kong,23.1,25%,52%,48%,41,46.6,42.3,94.1,55.9
119,University of Alabama at Birmingham,United States,16.7,6%,62%,38%,39.2,33.6,74.8,37.4,55.7
120,Northeastern University,United States,13.9,35%,49%,51%,38,27.9,38,75,55.6
120,University of Rochester,United States,4.2,31%,49%,51%,43.4,30.3,40.9,67.2,55.6
121,University of Florida,United States,16.8,10%,55%,45%,54,53.8,57.9,40,55.4
121,Karlsruhe Institute of Technology,Germany,25.6,22%,28%,72%,45.4,47.8,91.3,69.1,55.4
121,Stockholm University,Sweden,19.5,14%,0%,0%,30,46.4,36.6,81.3,55.4
122,Texas A&M University,United States,24.8,8%,47%,53%,49.3,54.8,45.3,54.3,55.3
122,University of Auckland,New Zealand,22.1,32%,56%,44%,31.4,43.9,62.4,94,55.3
123,"University of California, Santa Cruz",United States,23,10%,50%,50%,33.1,34.9,39.1,60.6,55.2
123,Korea University,South Korea,16,22%,0%,0%,48.4,50.2,93.9,52,55.2
123,Queensland University of Technology,Australia,38.2,16%,54%,46%,31.9,40.3,62.4,81.4,55.2
124,University of Erlangen-Nuremberg,Germany,57,12%,48%,52%,41.1,45.8,89.6,52.9,54.8
124,Aalto University,Finland,18.6,26%,34%,66%,41.8,39.4,48.3,82.3,54.8
124,Technical University of Denmark,Denmark,6.6,25%,30%,70%,39.4,40.2,71.6,92.8,54.8
125,Eindhoven University of Technology,Netherlands,20.7,19%,0%,0%,44.6,48.8,99.8,78.3,54.7
125,University of Gothenburg,Sweden,10.2,13%,0%,0%,27.5,41.5,40.1,65.7,54.7
126,T�l�com Paris,France,5.6,39%,21%,79%,42.6,38.3,76.6,81.7,54.6
127,Lomonosov Moscow State University,Russian Federation,7.3,29%,48%,52%,78.2,63,90.7,66.6,54.3
127,University of M�nster,Germany,43.4,8%,0%,0%,41,42.5,47.5,48.7,54.3
127,Tel Aviv University,Israel,22.3,7%,55%,45%,41.3,51.3,41.8,54.7,54.3
128,University of East Anglia,United Kingdom,13.9,28%,60%,40%,28.3,30.1,35.7,87.7,54.2
129,University of Canberra,Australia,36.2,32%,0%,0%,25.2,31.1,38.6,86.9,54.1
130,University of Duisburg-Essen,Germany,53,19%,48%,52%,34.4,32.8,71.6,60,54
130,University of Technology Sydney,Australia,43.4,34%,51%,49%,33.5,42.9,50.3,96.1,54
130,University of the Witwatersrand,South Africa,26.3,8%,56%,44%,31.2,43.2,100,73.7,54
131,Yonsei University (Seoul campus),South Korea,14.6,22%,47%,53%,51.2,52.6,98.9,58.4,53.9
131,Cardiff University,United Kingdom,13.5,27%,59%,41%,32.5,35.5,37.8,85.1,53.9
132,University of Antwerp,Belgium,29.3,17%,55%,45%,35.6,44.5,72.2,69.6,53.8
132,George Washington University,United States,13.1,18%,60%,40%,48.6,32.4,35,55.5,53.8
132,University of Lausanne,Switzerland,9.6,24%,0%,0%,33.1,44.2,67.8,92.7,53.8
133,University of St Andrews,United Kingdom,12.7,46%,58%,42%,42.2,41.8,37.6,96.6,53.7